authors,title,year,publisher,cover
"Hershfield, J. Corboy,. T ",Zaburzenia obsesyjno-kompulsyjne. Poradnik z ćwiczeniami opartymi na uważności i terapii poznawczo-behawioralnej,2016,"WUJ, Kraków",2866.jpg
"Leahy, R.L. ",Pokonaj depresję zanim ona pokona ciebie,2010,"WUJ, Kraków",pokonaj-depresje-zanim-ona-pokona-ciebie-b-iext36429021.jpg
"Padesky, Ch. A., Greenberger, D. ",Umysł ponad nastrojem,2004,"WUJ, Kraków",492.jpg
"Popiel, A., Pragłowska, E. ",Psychoterapia poznawczo-behawioralna. Teoria i praktyka,2008,"Paradygmat, Warszawa",psychoterapia-poznawczo-behawioralna-b-iext35759587.jpg
"Ramirez Basco, M., Rush, A.J. ",Zaburzenie afektywne dwubiegunowe. Terapia poznawczo-behawioralna,2007,"WUJ, Kraków",zaburzenia-afektywne-dwubiegunowe-terapia-poznawczo-behawioralna-b-iext35765008.jpg
"Segal, Z.V., Williams, J.M., Teasdale, J.D. ",Terapia poznawcza oparta na uważności. Nowa koncepcja profilaktyki nawrotów,2009,"WUJ, Kraków",terapia-poznawcza-depresji-oparta-na-uwaznosci-b-iext46931159.jpg
"Siegel, R.D. ",Uważność. Trening pokonywania codziennych trudności,2011,"Czarna Owca, Warszawa",1110491934.jpg
"Smith, S. Hayes, C.S. ","W pułapce myśli. Jak skutecznie poradzić sobie z depresją, stresem i lękiem",2014,"GWP, Gdańsk",w-pulapce-mysli-jak-skutecznie-poradzic-sobie-z-depresja-stresem-i-lekiem-b-iext39736685.jpg
"Stallard, P.","Czujesz tak, jak myślisz. Praktyczne zastosowania terapii poznawczo-behawioralnej w pracy z dziećmi i młodzieżą",2006,"Zysk i S-ka, Poznań",big_978-83-7506-049-2.jpg
"Wells, A. ",Terapia poznawcza zaburzeń lękowych,2010,"WUJ, Kraków",1296.jpg
"Williams, M., Teasdale, J., Segal, Z., Kabat-Zinn, J. ",Świadomą drogą przez depresję. Wolność od chronicznego cierpienia,2009,"Czarna Owca, Warszawa",swiadoma-droga-przez-depresje-b-iext41785410.jpg
"O’Sullivan, S.",Wszystko jest w twojej głowie. Opowieści o chorobach psychosomatycznych,2017,"WUJ, Kraków",3028.jpg
"Carbonell, David A.",W pułapce niepokoju. Jak przechytrzyć własny mózg i przestać się zamartwiać,2017,"WUJ, Kraków",3027.jpg
"Leahy, Robert L.",Lekarstwo na zmartwienia. Jak w siedmiu krokach osiągnąć wewnętrzną harmonię,2010,Fraszka Edukacyjna,4ace028406ae6bcdb55b492de0bafab7ce3b1250.jpg
"Kabat-Zinn, J.","Życie, piękna katastrofa",2018,"Czarna Owca, Warszawa",273556.jpg
"Wilson, K. G.; DuFrene, T.","W sieci natrętnych myśli",2018,GWP,1518434674.jpg
"Clark, D. A.; Beck, A. T.","Zaburzenia lękowe",2018,"WUJ, Kraków",3135.jpg
"Fanning, P.; McKay, M.; Lev, A.; Skeen, M.","Relacje na huśtawce",2018,"WUJ, Kraków",relacje-na-hustawce-jak-uwolnic-sie-od-negatywnych-wzorcow-zachowan.2.jpg
"Pittman, C. M.; Karle, E. M.",Zalękniony mózg,2018,"WUJ, Kraków",3139.jpg
"Behardy, W",Rozbroić narcyza. Jak radzić sobie z osobą zapatrzoną w siebie,2013,"GWP, Gdańsk",rozbroic-narcyza-jak-radzic-sobie-z-osoba-zapatrzona-w-siebie-w-iext34547779.jpg
"Gibson, L.C.",Dorosłe dzieci niedojrzałych emocjonalnie rodziców. Jak uwolnić się od przeszłości i zacząć nowe życie,2018,"WUJ, Kraków",dorosle-dzieci-niedojrzalych-emocjonalnie-rodzicow-jak-uwolnic-sie-od-przeszlosci-i-zaczac-nowe-zycie-w-iext52644335.jpg
"Alberti R., Emmons M.","Asertywność. Sięgaj po to, czego chcesz, nie raniąc innych",2018,"GWP, Gdańsk",asertywnosc-siegaj-po-to-czego-chcesz-nie-raniac-innych-w-iext53619379.jpg
"Hanson, R.","Rezyliencja. Jak ukształtować fundament spokoju, siły i szczęścia",2018,"GWP, Gdańsk",rezyliencja-jak-uksztaltowac-fundament-spokoju-sily-i-szczescia-w-iext53465238.jpg
"Rawińska, M.",Zaburzenia seksualne a psychoterapia poznawczo-behawioralna,2019,PZWL Wydawnictwo Lekarskie,82343035o.jpg
"Popiel, A.; Pragłowska, E.; Zawadzki, B.",Skutecznie działanie w stresie,2019,"GWP, Gdańsk",b_9788374897792.jpg
"Popiel, A.; Pragłowska, E.; Zawadzki, B.",Skutecznie działanie w stresie. Osobisty niezbędnik,2019,"GWP, Gdańsk",skuteczny-w-stresie-osobisty-niezbednik.1.jpg
"Rego, S.A.; Fader, S.",Uwolnij się od depresji. Program 10 kroków,2019,"GWP, Gdańsk",uwolnij-sie-od-depresji-net3.jpg
"Jacob, G.; Van Genderen, H.; Seebauer, L.",Emocjonalne pułapki przeszłości,2019,"GWP, Gdańsk",e3-emocjonalne-pulapki-przes.jpg
"Roediger, E.; Stevens, B.",Emocjonalne pułapki w związkach. Jak przełamać negatywne wzorce zachowań?,2019,"GWP, Gdańsk",emocjonalne-pulki-w-zwiazkach-jak-przelamac-negatywne-wzorce-zachowan.1.jpg
"Król-Fijewska, M.","Stanowczo, łagodnie, bez lęku",2009,"W.A.B., Warszawa",120029399o.jpg
"Żerdziński, M.",Natręctwa,2018,"Termedia, Poznań",265_big.gif
"Faber, A.; Mazlish, E.","JAK MÓWIĆ, ŻEBY DZIECI NAS SŁUCHAŁY. JAK SŁUCHAĆ, ŻEBY DZIECI DO NAS MÓWIŁY",2013,"Media Rodzina, Poznań",Skonica@inf18080815531_0001-1-1200x1701.jpg
"Fiore, N.",Nawyk samodyscypliny. Zaprogramuj wewnętrznego stróża,2013,"Helion, Gliwice",nawyk-samodyscypliny-zaprogramuj-wewnetrznego-stroza-b-iext35758952.jpg
"Kahneman, D.",Pułapki myślenia. O myśleniu szybkim i wolnym,2012,"Media Rodzina, Poznań",pulapki-myslenia-o-mysleniu-szybkim-i-wolnym-w-iext35309475.jpg
"Kennerley, H.",Terapia lęku. Podręcznik treningu opanowania lęku,2005,"Alliance Press, Gdynia",601123912280e1fdcad665eb963e8af00e90.jpg
"Zubrzycka, E.",Egzaminy bez spiny. Wiesz więcej i potrafisz więcej niż ci się wydaje,2018,"GWP, Gdańsk",egzaminy-bez-spiny-wiesz-wiecej-i-potrafisz-wieecej-niz-ci-sie-wydaje.2.jpg
"Burkeman, O.",Szczęście. Poradnik dla pesymistów,2017,"Muza, Warszawa",556225-352x500.jpg
"Wilson, K. G.; DuFrene, T.",Życie bez nałogu,2020,"GWP, Gdańsk",zycie-bez-nalogu-uwolnij-sie-od-uzaleznienia-wykorzystujac-techniki-act.2.jpg
"Kandell, E.",Zaburzony umysł. Co nietypowe mózgi mówią o nas samych,2020,"Copernicus Center Press, Kraków",783907-352x500.jpg
"Hofmann, S.G.;Hayes, S.C.",Terapia poznawczo-behawioralna oparta na procesach,2020,"GWP, Gdańsk",terapia-poznawczo-behawioralna-oparta-na-procesach-wiedza-i-kluczowe-kompetencje.2.jpg
"Nolen-Hoeksema, S.","Kobiety, które myślą za dużo",2020,"Zwierciadło, Warszawa",w400_u90.jpg
"Hayes, S.C.",Umysł wyzwolony,2020,"GWP, Gdańsk",umysl-wyzwolony.2.1603349368.jpg
"Kryszczyński, T.","Mindfulness znaczy sati. 25 ćwiczeń rozwijających mindfulness",2020,"Sensus, Gliwice",810746-352x500.jpg
"Skowrońska, A.",Potrzeby to podstawa,2019,"Pracownia Innowacji, Gdańsk",778339-352x500.jpg
"McGonigal, K.","Siła stresu. Jak stresować się mądrze i z pożytkiem dla siebie",2016,"Sensus, Gliwice",sistrv.png.jpeg
"Hoffman, S.G.",Ponad Lękiem,2021,"GWP, Gdańsk",885376-352x500.jpg
